Combination_ID,Upper_Body,Lower_Body,Footwear,Style_Match,Season_Match,Rating
C001,U0101ctW,L2001uV,F3201cW,Casual-Universal-Casual,Winter-Vernal-Winter,8
C002,U0101ctW,L2002cfU,F3202cfW,Casual+Trendy-Casual+Formal-Casual+Formal,Winter-Universal-Winter,9
C003,U0102cS,L2003cU,F3001cU,Casual-Casual-Casual,Summer-Universal-Universal,10
C004,U0102cS,L2004fU,F3002cU,Casual-Formal-Casual,Summer-Universal-Universal,7
C005,U0103fU,L2102fU,F3101fU,Formal-Formal-Formal,Universal-Universal-Universal,10
C006,U0103fU,L2103fU,F3102fU,Formal-Formal-Formal,Universal-Universal-Universal,9
C007,U0104fuU,L2106fuU,F3103fuU,Formal+Universal-Formal+Universal-Formal+Universal,Universal-Universal-Universal,10
C008,U0104fuU,L2109fuW,F3104fU,Formal+Universal-Formal+Universal-Formal,Universal-Winter-Universal,8
C009,U0105tS,L2005tS,F3003tU,Trendy-Trendy-Trendy,Summer-Summer-Universal,9
C010,U0105tS,L2006tuV,F3004tuU,Trendy-Trendy+Universal-Trendy+Universal,Summer-Vernal-Universal,8
C011,U0106fA,L2110cfA,F3209cfA,Formal-Casual+Formal-Casual+Formal,Autumn-Autumn-Autumn,10
C012,U0106fA,L2103fU,F3106fU,Formal-Formal-Formal,Autumn-Universal-Universal,9
C013,U0107cuW,L2007cU,F3207cuAW,Casual+Universal-Casual-Casual+Universal,Winter-Universal-Autumn+Winter,8
C014,U0107cuW,L2010cuU,F3008cuU,Casual+Universal-Casual+Universal-Casual+Universal,Winter-Universal-Universal,9
C015,U0108uU,L2001uV,F3006uU,Universal-Universal-Universal,Universal-Vernal-Universal,8
C016,U0108uU,L2108cuA,F3210uAW,Universal-Casual+Universal-Universal,Universal-Autumn-Autumn+Winter,9
C017,U0109ctS,L2005tS,F3009tS,Casual+Trendy-Trendy-Trendy,Summer-Summer-Summer,10
C018,U0109ctS,L2007cU,F3005cS,Casual+Trendy-Casual-Casual,Summer-Universal-Summer,9
C019,U0110fuA,L2103fU,F3110fuU,Formal+Universal-Formal-Formal+Universal,Autumn-Universal-Universal,9
C020,U0110fuA,L2106fuU,F3105fuU,Formal+Universal-Formal+Universal-Formal+Universal,Autumn-Universal-Universal,8
C021,U0201cS,L2003cU,F3001cU,Casual-Casual-Casual,Summer-Universal-Universal,9
